Id,AttackPathType,Title,RiskFactors,RiskFactorsLength,EntryNodeEntity,TargetNodeEntity,EntryNode,TargetNode,Nodes,RiskLevel,Environments,EntryNodeEntityType,TargetNodeEntityType,AffectedResources,ActiveRecommendations,CorrelationId
"/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/providers/microsoft.security/attackpaths/e4ba1f4d1c47ae11a317bfbe539ebc70270d9975ff954478ec693dd803e16b73","45e002aa-6932-a440-0978-df43040d5e50","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'a271808d-2b19-157d-82f9-37c54007c594','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-CPR/providers/Microsoft.Compute/virtualMachines/oracledbvm'},'entityType':'microsoft.compute/virtualmachines','dataSource':'Azure','entityName':'oracledbvm'}","{'entityInternalId':'a271808d-2b19-157d-82f9-37c54007c594','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-CPR/providers/Microsoft.Compute/virtualMachines/oracledbvm'},'entityType':'microsoft.compute/virtualmachines','dataSource':'Azure','entityName':'oracledbvm'}","oracledbvm","oracledbvm","'{'entityInternalId':'a271808d-2b19-157d-82f9-37c54007c594','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-CPR/providers/Microsoft.Compute/virtualMachines/oracledbvm'},'entityType':'microsoft.compute/virtualmachines','dataSource':'Azure','entityName':'oracledbvm'}','{'entityInternalId':'7f721f51-3fe9-440f-9bd7-f78d45ae1d6f','entityIdentifiers':{'type':'ip-address','address':'51.137.55.44'},'entityType':'IP address','entityName':'51.137.55.44'}','{'entityInternalId':'b7580824-f8a2-6622-81fa-bc4bf5ee0f8b','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/rg-cpr/providers/Microsoft.Network/networkInterfaces/oracledbvm719'},'entityType':'microsoft.network/networkinterfaces','entityName':'oracledbvm719'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","1","e4ba1f4d1c47ae11a317bfbe539ebc70270d9975ff954478ec693dd803e16b73"
"/subscriptions/ecc29dab-a443-4dd0-82f7-5dd4b485a6bd/providers/microsoft.security/attackpaths/69eaba575b08234df519f256a11e5cc9be4f6a6ca3ec6e732f52716163469615","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'29831bde-c8bc-1a3d-f21e-babc003d1f14','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/ecc29dab-a443-4dd0-82f7-5dd4b485a6bd/resourceGroups/SERVICENOW/providers/Microsoft.Compute/virtualMachines/Application'},'entityType':'microsoft.compute/virtualmachines','entityName':'application','dataSource':'Azure'}","{'entityInternalId':'29831bde-c8bc-1a3d-f21e-babc003d1f14','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/ecc29dab-a443-4dd0-82f7-5dd4b485a6bd/resourceGroups/SERVICENOW/providers/Microsoft.Compute/virtualMachines/Application'},'entityType':'microsoft.compute/virtualmachines','entityName':'application','dataSource':'Azure'}","application","application","'{'entityInternalId':'29831bde-c8bc-1a3d-f21e-babc003d1f14','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/ecc29dab-a443-4dd0-82f7-5dd4b485a6bd/resourceGroups/SERVICENOW/providers/Microsoft.Compute/virtualMachines/Application'},'entityType':'microsoft.compute/virtualmachines','entityName':'application','dataSource':'Azure'}','{'entityInternalId':'9e686a45-aff6-e770-7c5f-b5dd7e4ce03a','entityIdentifiers':{'type':'ip-address','address':'20.224.23.15'},'entityType':'IP address','entityName':'20.224.23.15'}','{'entityInternalId':'8b8a0e8c-f450-518f-7725-a815f1ac29b3','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/ecc29dab-a443-4dd0-82f7-5dd4b485a6bd/resourcegroups/servicenow/providers/microsoft.network/networkinterfaces/application664_z1'},'entityType':'microsoft.network/networkinterfaces','entityName':'application664_z1'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","3","69eaba575b08234df519f256a11e5cc9be4f6a6ca3ec6e732f52716163469615"
"/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/providers/microsoft.security/attackpaths/087f28eb1b2ca39be5195b5c2a7a9ef74c06bbd20c067c106076f7783db34416","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'fb198cbd-7a9a-1b12-8878-81118c8031bd','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/EXCHANGEFORLUZON/providers/Microsoft.Compute/virtualMachines/EX01'},'entityType':'microsoft.compute/virtualmachines','entityName':'ex01','dataSource':'Azure'}","{'entityInternalId':'fb198cbd-7a9a-1b12-8878-81118c8031bd','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/EXCHANGEFORLUZON/providers/Microsoft.Compute/virtualMachines/EX01'},'entityType':'microsoft.compute/virtualmachines','entityName':'ex01','dataSource':'Azure'}","ex01","ex01","'{'entityInternalId':'fb198cbd-7a9a-1b12-8878-81118c8031bd','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/EXCHANGEFORLUZON/providers/Microsoft.Compute/virtualMachines/EX01'},'entityType':'microsoft.compute/virtualmachines','entityName':'ex01','dataSource':'Azure'}','{'entityInternalId':'200a9212-aafa-96ff-5202-94815ee9fc7f','entityIdentifiers':{'type':'ip-address','address':'52.188.109.64'},'entityType':'IP address','entityName':'52.188.109.64'}','{'entityInternalId':'db844198-a34d-341a-4533-010a7bf687b6','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/ExchangeForLuzon/providers/Microsoft.Network/networkInterfaces/EX01-NIC'},'entityType':'microsoft.network/networkinterfaces','entityName':'ex01-nic'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","1","087f28eb1b2ca39be5195b5c2a7a9ef74c06bbd20c067c106076f7783db34416"
"/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/providers/microsoft.security/attackpaths/efba56d9121915380f7f41d731b96915414f5f80cbb89e3b16a71075e0ade931","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'4748d64b-d531-14a0-9e37-de5011a2aa1f','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-BLACK-NEXUS/providers/Microsoft.Compute/virtualMachines/nexus'},'entityType':'microsoft.compute/virtualmachines','entityName':'nexus','dataSource':'Azure'}","{'entityInternalId':'4748d64b-d531-14a0-9e37-de5011a2aa1f','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-BLACK-NEXUS/providers/Microsoft.Compute/virtualMachines/nexus'},'entityType':'microsoft.compute/virtualmachines','entityName':'nexus','dataSource':'Azure'}","nexus","nexus","'{'entityInternalId':'4748d64b-d531-14a0-9e37-de5011a2aa1f','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-BLACK-NEXUS/providers/Microsoft.Compute/virtualMachines/nexus'},'entityType':'microsoft.compute/virtualmachines','entityName':'nexus','dataSource':'Azure'}','{'entityInternalId':'320330a3-b0c2-bb07-cece-be0398834b8d','entityIdentifiers':{'type':'ip-address','address':'20.229.35.196'},'entityType':'IP address','entityName':'20.229.35.196'}','{'entityInternalId':'01fa399f-8652-6edb-299e-df8373e311ab','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/rg-black-nexus/providers/Microsoft.Network/networkInterfaces/nexus985'},'entityType':'microsoft.network/networkinterfaces','entityName':'nexus985'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","2","efba56d9121915380f7f41d731b96915414f5f80cbb89e3b16a71075e0ade931"
"/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/providers/microsoft.security/attackpaths/ed353637d7f140f6981cab019d51909ac00f3eb64f817323f08a937fc619c91f","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'24fda488-cf83-b1d9-c2d6-b4e68dd6ca37','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-CAMPUS-DEV/providers/Microsoft.Compute/virtualMachines/campus-dev-web-image'},'entityType':'microsoft.compute/virtualmachines','entityName':'campus-dev-web-image','dataSource':'Azure'}","{'entityInternalId':'24fda488-cf83-b1d9-c2d6-b4e68dd6ca37','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-CAMPUS-DEV/providers/Microsoft.Compute/virtualMachines/campus-dev-web-image'},'entityType':'microsoft.compute/virtualmachines','entityName':'campus-dev-web-image','dataSource':'Azure'}","campus-dev-web-image","campus-dev-web-image","'{'entityInternalId':'24fda488-cf83-b1d9-c2d6-b4e68dd6ca37','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/RG-CAMPUS-DEV/providers/Microsoft.Compute/virtualMachines/campus-dev-web-image'},'entityType':'microsoft.compute/virtualmachines','entityName':'campus-dev-web-image','dataSource':'Azure'}','{'entityInternalId':'ea63740b-9713-ab9a-1443-d291c5dd2c26','entityIdentifiers':{'type':'ip-address','address':'13.95.229.203'},'entityType':'IP address','entityName':'13.95.229.203'}','{'entityInternalId':'8e29708a-49ed-3761-0345-327a466026d0','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/97293d6c-55fd-41d4-b943-a6ae2ebad5aa/resourceGroups/rg-campus-dev/providers/Microsoft.Network/networkInterfaces/campus-dev-web-image312_z1'},'entityType':'microsoft.network/networkinterfaces','entityName':'campus-dev-web-image312_z1'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","1","ed353637d7f140f6981cab019d51909ac00f3eb64f817323f08a937fc619c91f"
"/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/providers/microsoft.security/attackpaths/dc38a643f27655f0342704688092a6e18c661ca9a94186334439ec4c4909b62b","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'09706bbd-bac5-b6b6-6a05-849a71614633','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/EXCHANGEFORLUZON/providers/Microsoft.Compute/virtualMachines/DC01'},'entityType':'microsoft.compute/virtualmachines','entityName':'dc01','dataSource':'Azure'}","{'entityInternalId':'09706bbd-bac5-b6b6-6a05-849a71614633','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/EXCHANGEFORLUZON/providers/Microsoft.Compute/virtualMachines/DC01'},'entityType':'microsoft.compute/virtualmachines','entityName':'dc01','dataSource':'Azure'}","dc01","dc01","'{'entityInternalId':'09706bbd-bac5-b6b6-6a05-849a71614633','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/EXCHANGEFORLUZON/providers/Microsoft.Compute/virtualMachines/DC01'},'entityType':'microsoft.compute/virtualmachines','entityName':'dc01','dataSource':'Azure'}','{'entityInternalId':'ebd9384e-66ed-6e4f-24a1-e13a08489f3e','entityIdentifiers':{'type':'ip-address','address':'172.203.151.211'},'entityType':'IP address','entityName':'172.203.151.211'}','{'entityInternalId':'1fbcce4b-a8a3-17a7-1a79-1def878cd295','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/8c929f6c-304e-4f0a-b65c-c56106a6587f/resourceGroups/ExchangeForLuzon/providers/Microsoft.Network/networkInterfaces/DC01-NIC'},'entityType':'microsoft.network/networkinterfaces','entityName':'dc01-nic'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","1","dc38a643f27655f0342704688092a6e18c661ca9a94186334439ec4c4909b62b"
"/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/providers/microsoft.security/attackpaths/086a3607ce142f381c9de21a7255e86f9869c72f0c56affa311bc11d6f00c88c","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'31878de6-79c1-aade-a3b5-dbc76fbd7a4c','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourceGroups/SNOW-TACTI-NEW/providers/Microsoft.Compute/virtualMachines/snow-app'},'entityType':'microsoft.compute/virtualmachines','entityName':'snow-app','dataSource':'Azure'}","{'entityInternalId':'31878de6-79c1-aade-a3b5-dbc76fbd7a4c','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourceGroups/SNOW-TACTI-NEW/providers/Microsoft.Compute/virtualMachines/snow-app'},'entityType':'microsoft.compute/virtualmachines','entityName':'snow-app','dataSource':'Azure'}","snow-app","snow-app","'{'entityInternalId':'31878de6-79c1-aade-a3b5-dbc76fbd7a4c','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourceGroups/SNOW-TACTI-NEW/providers/Microsoft.Compute/virtualMachines/snow-app'},'entityType':'microsoft.compute/virtualmachines','entityName':'snow-app','dataSource':'Azure'}','{'entityInternalId':'59ee755b-afae-9d3e-5eca-05db7e936a1e','entityIdentifiers':{'type':'ip-address','address':'20.124.5.162'},'entityType':'IP address','entityName':'20.124.5.162'}','{'entityInternalId':'8a49fc35-2e9f-c491-993b-0357c6b0e142','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourcegroups/snow-tacti-new/providers/microsoft.network/networkinterfaces/snow-app264'},'entityType':'microsoft.network/networkinterfaces','entityName':'snow-app264'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","2","086a3607ce142f381c9de21a7255e86f9869c72f0c56affa311bc11d6f00c88c"
"/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/providers/microsoft.security/attackpaths/8fb3a8cdeaba85b253f5d9a091ef32daabda43b61d611648460c45fb5b88c234","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'2c4a771d-353b-57cb-f988-4deda597f16a','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourceGroups/SNOW-TACTI-NEW/providers/Microsoft.Compute/virtualMachines/Bot'},'entityType':'microsoft.compute/virtualmachines','entityName':'bot','dataSource':'Azure'}","{'entityInternalId':'2c4a771d-353b-57cb-f988-4deda597f16a','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourceGroups/SNOW-TACTI-NEW/providers/Microsoft.Compute/virtualMachines/Bot'},'entityType':'microsoft.compute/virtualmachines','entityName':'bot','dataSource':'Azure'}","bot","bot","'{'entityInternalId':'2c4a771d-353b-57cb-f988-4deda597f16a','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourceGroups/SNOW-TACTI-NEW/providers/Microsoft.Compute/virtualMachines/Bot'},'entityType':'microsoft.compute/virtualmachines','entityName':'bot','dataSource':'Azure'}','{'entityInternalId':'9f302adb-4dcb-6410-5a09-a67fdfea0085','entityIdentifiers':{'type':'ip-address','address':'20.124.251.240'},'entityType':'IP address','entityName':'20.124.251.240'}','{'entityInternalId':'1b260561-cd3c-7ca1-7736-b5ce9d18953d','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/63fba7d2-751f-4cfb-ad75-991c01383458/resourcegroups/snow-tacti-new/providers/microsoft.network/networkinterfaces/bot227'},'entityType':'microsoft.network/networkinterfaces','entityName':'bot227'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","3","8fb3a8cdeaba85b253f5d9a091ef32daabda43b61d611648460c45fb5b88c234"
"/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/providers/microsoft.security/attackpaths/5ff7456577cbb12cf9a12ad40f5121af2d8ce82e8e554eb8547bffd9b8cbdd6f","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'ec28575f-f750-fb05-c3d1-e56b589d50c7','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/YOAV-HAFIFA-RG/providers/Microsoft.Compute/virtualMachines/worker'},'entityType':'microsoft.compute/virtualmachines','entityName':'worker','dataSource':'Azure'}","{'entityInternalId':'ec28575f-f750-fb05-c3d1-e56b589d50c7','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/YOAV-HAFIFA-RG/providers/Microsoft.Compute/virtualMachines/worker'},'entityType':'microsoft.compute/virtualmachines','entityName':'worker','dataSource':'Azure'}","worker","worker","'{'entityInternalId':'ec28575f-f750-fb05-c3d1-e56b589d50c7','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/YOAV-HAFIFA-RG/providers/Microsoft.Compute/virtualMachines/worker'},'entityType':'microsoft.compute/virtualmachines','entityName':'worker','dataSource':'Azure'}','{'entityInternalId':'a4cea091-dea4-74df-1480-fef9c992f6f7','entityIdentifiers':{'type':'ip-address','address':'172.205.252.250'},'entityType':'IP address','entityName':'172.205.252.250'}','{'entityInternalId':'634e01ba-e03f-0652-0da3-a879088757b4','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/Yoav-Hafifa-RG/providers/Microsoft.Network/networkInterfaces/worker724_z1'},'entityType':'microsoft.network/networkinterfaces','entityName':'worker724_z1'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","2","5ff7456577cbb12cf9a12ad40f5121af2d8ce82e8e554eb8547bffd9b8cbdd6f"
"/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/providers/microsoft.security/attackpaths/52c73774699bedfb80f4a005b90b565f38bc0d938f451b1f7d6f1e72225118bc","034d73cd-c858-2a89-09ab-9cd4c19ea8c9","Internet exposed Azure VM with high severity vulnerabilities (Preview)","'Internet exposure','Vulnerabilities'","2","{'entityInternalId':'0de4ffe3-70ff-aeb9-8340-21325a20a4d0','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/LEA-HAFIFA-RG/providers/Microsoft.Compute/virtualMachines/worker-vm'},'entityType':'microsoft.compute/virtualmachines','entityName':'worker-vm','dataSource':'Azure'}","{'entityInternalId':'0de4ffe3-70ff-aeb9-8340-21325a20a4d0','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/LEA-HAFIFA-RG/providers/Microsoft.Compute/virtualMachines/worker-vm'},'entityType':'microsoft.compute/virtualmachines','entityName':'worker-vm','dataSource':'Azure'}","worker-vm","worker-vm","'{'entityInternalId':'0de4ffe3-70ff-aeb9-8340-21325a20a4d0','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/LEA-HAFIFA-RG/providers/Microsoft.Compute/virtualMachines/worker-vm'},'entityType':'microsoft.compute/virtualmachines','entityName':'worker-vm','dataSource':'Azure'}','{'entityInternalId':'b849cbe6-11bc-43bd-b615-2e3b912c1bd1','entityIdentifiers':{'type':'ip-address','address':'20.31.131.139'},'entityType':'IP address','entityName':'20.31.131.139'}','{'entityInternalId':'ddd8af01-3bd7-9d1b-1bf3-daa53ce20318','entityIdentifiers':{'type':'azure-resource','azureResourceId':'/subscriptions/a297be23-a84e-4659-90e9-60cf0be8838b/resourceGroups/lea-hafifa-rg/providers/Microsoft.Network/networkInterfaces/worker-vm310_z1'},'entityType':'microsoft.network/networkinterfaces','entityName':'worker-vm310_z1'}'","3","'Azure'","microsoft.compute/virtualmachines","microsoft.compute/virtualmachines","3","2","52c73774699bedfb80f4a005b90b565f38bc0d938f451b1f7d6f1e72225118bc"
