App name,App status,Graph API access,Permission type,Consent type,Publisher,Last modified,Added on,Permission usage,Data usage,Privilege level
 reMarkable Integrations OneDrive,Disabled by user,Yes,Delegated,User (1),Remarkable AS,2023-10-31T14:05:43.000Z,2023-10-01T14:44:18.000Z,In use,0,High
acr-sod-sp,Enabled,Yes,Mixed,Admin,N/A,,2020-12-01T14:57:46.000Z,N/A,0,High
Acrobat web connector,Enabled,Yes,Delegated,User (2),Adobe Inc.,,2022-06-07T08:20:43.000Z,Some unused,0,High
Actions Platform,Enabled,No,Delegated,Admin,N/A,,2020-11-17T15:32:18.000Z,N/A,0,None
AddEvent.com,Enabled,Yes,Delegated,User (54),N/A,2023-10-03T12:37:50.000Z,2020-07-10T18:35:21.000Z,Some unused,0,Medium
Adobe Acrobat,Enabled,Yes,Delegated,User (436),Adobe Inc.,2023-10-30T17:13:01.000Z,2021-02-19T11:43:32.000Z,Some unused,571.93 MB,High
Adobe Acrobat Reader,Enabled,Yes,Delegated,Admin,Adobe Inc.,2023-10-31T15:19:43.000Z,2021-03-05T17:12:21.000Z,In use,0,High
Adobe Acrobat Reader for PDF,Enabled,Yes,Delegated,Admin,N/A,2023-10-31T15:27:07.000Z,2020-11-03T14:49:34.000Z,In use,0,High
Adobe Sign for Office365,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:06:13.000Z,2020-05-15T10:54:49.000Z,Some unused,0,High
Affinity,Disabled by user,Yes,Delegated,User (1),"Project Affinity, Inc.",2023-10-31T14:06:37.000Z,2022-04-25T12:05:17.000Z,Some unused,0,High
Afik Developement,Enabled,Yes,Mixed,Admin,N/A,2023-08-27T06:47:45.000Z,2022-02-16T11:38:19.000Z,N/A,0,High
ALADDIN - Subscription Creation - DEV,Enabled,Yes,Mixed,Admin,N/A,2023-10-31T16:12:41.000Z,2022-10-03T08:48:02.000Z,N/A,0,High
ALADDIN - Subscription Creation - PRD,Enabled,Yes,Mixed,Admin,N/A,2023-10-17T07:51:40.000Z,2022-10-03T08:49:39.000Z,N/A,0,Medium
AlienVault_OTX_V2,Enabled,Yes,Mixed,Admin,N/A,2023-10-22T09:57:19.000Z,2023-10-22T09:09:47.000Z,N/A,0,Medium
Amazon Alexa Connect,Disabled by user,Yes,Delegated,User (6),N/A,2023-01-14T20:01:21.000Z,2020-09-02T22:17:31.000Z,Some unused,0,High
amazon.jobs,Disabled by user,Yes,Delegated,User (5),N/A,2023-04-22T19:19:03.000Z,2020-12-23T10:14:31.000Z,Some unused,0,High
anton-openshift-sp,Enabled,No,Mixed,Admin,N/A,,2020-03-02T10:23:26.000Z,N/A,0,None
app-b2c-test,Enabled,No,Delegated,User (1),N/A,,2021-02-08T12:52:46.000Z,N/A,0,None
AppSheet,Disabled by user,Yes,Delegated,User (70),N/A,2023-10-31T14:07:51.000Z,2020-07-12T13:49:17.000Z,Some unused,0,High
Aqua Mail,Enabled,No,Delegated,User (2),N/A,,2022-05-29T12:02:07.000Z,N/A,0,None
Arc,Enabled,Yes,Delegated,User (1),The Browser Company of New York Inc,2023-10-23T10:28:31.000Z,2023-10-23T10:28:31.000Z,Some unused,0,High
ArcGIS Online Data Loader,Disabled by user,Yes,Delegated,User (2),N/A,2023-03-22T19:23:03.000Z,2023-03-01T10:23:14.000Z,Some unused,0,Medium
Atlassian Links,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:08:10.000Z,2022-12-21T18:25:15.000Z,Some unused,0,High
Attendance-App-Hatal,Enabled,Yes,Delegated,User (32),N/A,,2021-04-12T10:15:09.000Z,Some unused,0,Medium
AttendanceHatal-dev,Enabled,Yes,Delegated,User (607),N/A,2023-06-22T12:18:22.000Z,2022-01-20T15:44:47.000Z,Some unused,0,Medium
AttendanceHatal-test,Enabled,Yes,Delegated,User (173),N/A,2023-01-29T06:36:28.000Z,2021-11-01T12:57:21.000Z,Some unused,0,Medium
AU_09 - Gray - AZ Infra Creator DevOps - PROD,Enabled,Yes,Mixed,Admin,N/A,,2022-04-05T08:53:31.000Z,N/A,0,Medium
AU_09_IAFScheduler,Enabled,Yes,Mixed,Admin,N/A,2023-07-02T11:30:03.000Z,2021-12-02T09:12:37.000Z,N/A,0,High
AU_09_IAFScheduler_Test,Enabled,Yes,Mixed,Admin,N/A,2023-06-13T13:19:49.000Z,2023-06-05T12:00:37.000Z,Some unused,0,Medium
AU_09_TovalApp,Enabled,Yes,Mixed,Admin,N/A,2023-03-27T13:06:37.000Z,2022-07-05T08:27:35.000Z,Some unused,0,High
AU_09_TovalApp_Dev,Enabled,Yes,Mixed,Admin,N/A,2023-03-27T13:07:08.000Z,2023-01-01T13:02:44.000Z,Some unused,0,High
AU_09_TovalApp_Test,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T07:25:56.000Z,2022-12-11T09:58:36.000Z,Some unused,0,High
Auto Security Alerts Reports,Enabled,Yes,Mixed,Admin,N/A,2023-05-28T11:48:36.000Z,2021-05-19T07:27:01.000Z,N/A,0,Medium
AutoCAD,Disabled by user,Yes,Delegated,User (1),N/A,2023-10-31T14:08:34.000Z,2023-07-18T16:40:17.000Z,Some unused,0,High
Automate.io,Disabled by user,Yes,Delegated,User (2),N/A,,2021-07-13T19:40:53.000Z,Some unused,0,High
avia-hafifa-spn,Enabled,Yes,Mixed,Admin,N/A,2023-09-05T09:19:49.000Z,2023-09-05T08:32:55.000Z,N/A,0,Medium
aws-automation-spn,Enabled,Yes,Mixed,Admin,N/A,,2022-10-30T12:21:52.000Z,Some unused,0,High
aws-mailbox,Enabled,Yes,Mixed,Admin,N/A,2023-06-05T08:11:32.000Z,2022-11-06T08:31:57.000Z,Some unused,0,High
awsAccountAutomationPhone,Enabled,Yes,Mixed,Admin,N/A,2023-12-02T12:35:53.000Z,2023-06-07T13:13:15.000Z,N/A,0,High
ayalon,Disabled by user,Yes,Delegated,User (4),N/A,2023-10-31T14:09:40.000Z,2021-01-05T09:09:08.000Z,Some unused,0,High
Azure Logic Apps - Azure AD,Enabled,Yes,Delegated,Admin,N/A,,2020-06-08T13:17:10.000Z,N/A,0,High
B2C-Test23,Enabled,No,Delegated,User (4),N/A,,2021-02-10T13:09:30.000Z,N/A,0,None
Bites,Enabled,Yes,Mixed,Admin,N/A,2023-11-06T12:42:35.000Z,2020-10-22T18:12:52.000Z,Some unused,0,High
Bitnami Launchpad for Microsoft Azure,Enabled,No,Delegated,User (3),N/A,,2020-04-02T07:43:32.000Z,N/A,0,None
