App name,App status,Graph API access,Permission type,Consent type,Publisher,Last modified,Added on,Permission usage,Data usage,Privilege level
NifgaimClient,Enabled,Yes,Delegated,User (1),N/A,,2021-02-04T11:53:54.000Z,N/A,0,Low
DigitalIDF - ADX Wallet - DEV,Enabled,Yes,Delegated,Admin,N/A,,2020-09-10T07:47:51.000Z,N/A,0,Low
x.ai,Enabled,Yes,Delegated,User (2),N/A,,2020-07-15T18:21:43.000Z,Some unused,0,Low
CoronaIDF/Test/Logicapp,Enabled,Yes,Mixed,Admin,N/A,,2020-04-21T22:36:41.000Z,N/A,0,Low
Digital/CoronaClearance,Enabled,Yes,Mixed,Admin,N/A,,2020-11-04T12:02:05.000Z,N/A,0,Low
Office C3 Modern,Enabled,Yes,Delegated,User (1),N/A,,2020-03-25T00:42:02.000Z,N/A,0,Low
msal-browser-b2c,Enabled,Yes,Delegated,User (1),N/A,,2021-06-09T10:50:56.000Z,N/A,0,Low
Run One UI Application,Enabled,Yes,Delegated,User (1),N/A,,2020-11-08T07:37:22.000Z,N/A,0,Low
Power platform Community,Enabled,Yes,Delegated,User (15),N/A,,2019-07-27T08:18:41.000Z,N/A,0,Low
Freshsales,Enabled,Yes,Delegated,User (1),N/A,,2022-04-27T08:12:04.000Z,Some unused,0,Low
TypingClub,Enabled,Yes,Delegated,User (1),N/A,,2022-02-03T11:07:27.000Z,N/A,0,Low
DigitalIDF_ADX_Notifier_PP,Enabled,Yes,Delegated,Admin,N/A,,2021-02-03T20:13:25.000Z,N/A,0,Low
github-enterprise,Enabled,Yes,Delegated,User (6),N/A,,2021-10-25T13:45:27.000Z,N/A,0,Low
Copysmith,Enabled,Yes,Delegated,User (1),N/A,,2021-02-05T15:13:10.000Z,N/A,0,Low
Digital/Hatch/Frontend/Dev,Enabled,Yes,Delegated,Admin,N/A,,2020-05-24T13:21:28.000Z,N/A,0,Low
VeeamLoginMicrosoft,Enabled,Yes,Delegated,User (1),N/A,,2019-08-31T22:27:05.000Z,N/A,0,Low
Cisco Webex Meetings,Enabled,Yes,Delegated,User (3),N/A,,2020-08-19T08:50:53.000Z,N/A,0,Low
Filemail,Enabled,Yes,Delegated,User (1),N/A,,2021-03-01T05:07:52.000Z,N/A,0,Low
hulkingsfuzz-raft,Enabled,Yes,Delegated,User (2),N/A,,2021-01-06T14:10:05.000Z,N/A,0,Low
Digital/Vaccine/Prod,Enabled,Yes,Mixed,Admin,N/A,,2020-12-25T10:26:01.000Z,N/A,0,Low
DigitalIDF - Academy Server - Prod,Enabled,Yes,Delegated,Admin,N/A,,2020-07-23T07:42:20.000Z,N/A,0,Low
SongbookPro,Enabled,Yes,Delegated,User (1),N/A,,2021-03-29T15:04:38.000Z,Some unused,0,Low
ShaharDigital-IDFInformers-97293d6c-55fd-41d4-b943-a6ae2ebad5aa,Enabled,Yes,Delegated,User (1),N/A,,2021-06-14T10:38:21.000Z,N/A,0,Low
DigitalIDF - WIZ Notifications - nonProd,Enabled,Yes,Mixed,Admin,N/A,,2022-02-01T13:56:22.000Z,N/A,0,Low
NETsec GALsync,Enabled,Yes,Delegated,User (1),NETsec GmbH & Co. KG,,2021-06-29T16:03:10.000Z,N/A,0,Low
Xink Web Portal,Enabled,Yes,Delegated,User (1),Xink,,2022-05-16T04:51:55.000Z,N/A,0,Low
Adobe Creative Cloud,Enabled,Yes,Delegated,User (3),N/A,,2021-09-06T14:42:22.000Z,N/A,0,Low
prod-usa-2-gcp-common-schedule,Enabled,Yes,Delegated,User (1),N/A,,2022-10-08T14:07:09.000Z,N/A,0,Low
Plumsail Account,Enabled,Yes,Delegated,User (1),Fuzor LLC,,2022-02-07T22:33:07.000Z,N/A,0,Low
CPR,Enabled,Yes,Mixed,Admin,N/A,,2020-11-08T10:27:03.000Z,N/A,0,Low
lunamkt02-apiapp-aad,Enabled,Yes,Delegated,User (2),N/A,,2022-01-03T14:04:15.000Z,N/A,0,Low
Dashbd,Enabled,Yes,Delegated,User (1),N/A,,2021-06-26T22:42:05.000Z,Some unused,0,Low
CloudBeats,Enabled,Yes,Delegated,User (1),N/A,,2021-07-09T04:33:06.000Z,Some unused,0,Low
Project Freta Portal,Enabled,Yes,Delegated,User (4),N/A,,2020-07-07T11:28:18.000Z,N/A,0,Low
DigitalIDF - Grafana - Prod - Azure Data Explorer,Enabled,Yes,Delegated,Admin,N/A,,2021-01-17T13:53:05.000Z,N/A,0,Low
ClickIDF - B2CConnector - TST,Enabled,Yes,Delegated,Admin,N/A,,2021-11-24T15:24:58.000Z,N/A,0,Low
Comeet,Enabled,Yes,Delegated,User (1),N/A,,2021-10-07T13:37:48.000Z,Some unused,0,Low
Compete,Enabled,Yes,Delegated,User (1),N/A,,2021-09-12T10:30:51.000Z,N/A,0,Low
DigitalIDF - UrgentCareBot - Prod,Enabled,Yes,Mixed,Admin,N/A,,2022-10-02T13:17:06.000Z,N/A,0,Low
FEDEX,Enabled,Yes,Delegated,User (1),FedEx Services Corporation Inc,,2022-12-18T11:28:06.000Z,Some unused,0,Low
freta-client,Enabled,Yes,Delegated,User (1),N/A,,2022-12-04T10:01:39.000Z,N/A,0,Low
KAYAK Trips Email Sync,Enabled,Yes,Delegated,User (1),N/A,,2022-04-26T08:03:06.000Z,Some unused,0,Low
JctMoodle,Enabled,Yes,Delegated,User (29),N/A,,2022-08-14T16:44:44.000Z,N/A,0,Low
Mindomo 9.0,Enabled,Yes,Delegated,User (1),Expert Software Applications srl,,2020-03-24T14:07:31.000Z,N/A,0,Low
Cybrary Sign In,Enabled,Yes,Delegated,User (1),N/A,,2021-08-14T06:52:51.000Z,N/A,0,Low
Baha21,Enabled,Yes,Delegated,User (15),N/A,,2019-12-23T11:42:46.000Z,N/A,0,Low
poc-commvault,Enabled,Yes,Delegated,Admin,N/A,,2022-10-30T12:20:55.000Z,N/A,0,Low
Hippo Video Production,Enabled,Yes,Delegated,User (1),N/A,,2020-04-13T08:40:50.000Z,N/A,0,Low
Leeron,Enabled,Yes,Delegated,User (6),N/A,,2021-09-02T11:53:13.000Z,N/A,0,Low
DigitalIDF - ADX Notifier - DEV,Enabled,Yes,Delegated,Admin,N/A,,2020-08-10T12:41:57.000Z,N/A,0,Low
React Graph Tutorial,Enabled,Yes,Delegated,User (1),N/A,,2021-06-09T10:24:22.000Z,N/A,0,Low
App-Connect2All-Api,Enabled,Yes,Delegated,User (1),GAC Business Solutions,,2020-04-12T20:53:42.000Z,N/A,0,Low
all-microsoft,Enabled,Yes,Delegated,User (1),N/A,,2021-04-11T13:53:46.000Z,N/A,0,Low
DigitalMP - BlueLily - Prod,Enabled,Yes,Delegated,User (306),N/A,,2021-08-24T20:52:59.000Z,N/A,0,Low
ClickIDF - click365_Automate - PROD,Enabled,Yes,Mixed,Admin,N/A,,2021-07-12T08:59:06.000Z,N/A,0,Low
Proofpoint-Cloud,Enabled,Yes,Delegated,User (1),N/A,,2022-04-18T09:39:03.000Z,N/A,0,Low
Digital/WeWork/DevTest,Enabled,Yes,Mixed,Admin,N/A,,2021-01-12T13:08:22.000Z,N/A,0,Low
SharePoint Online Client Extensibility Web Application Principal Helper,Enabled,Yes,Delegated,Admin,N/A,,2020-04-08T12:42:29.000Z,N/A,0,Low
Prezi,Enabled,Yes,Delegated,User (3),N/A,,2021-12-09T07:59:35.000Z,N/A,0,Low
authentication-test-hupa,Enabled,Yes,Delegated,User (1),N/A,,2022-08-09T13:15:12.000Z,N/A,0,Low
appliKatzi,Enabled,Yes,Delegated,User (2),N/A,,2020-04-26T12:03:27.000Z,Some unused,0,Low
DigitalIDF - ADX UES - PROD,Enabled,Yes,Delegated,Admin,N/A,,2021-01-31T13:22:20.000Z,N/A,0,Low
Template.net,Enabled,Yes,Delegated,User (1),N/A,,2022-04-09T22:22:25.000Z,N/A,0,Low
10to8 Video Conferencing,Enabled,Yes,Delegated,User (1),N/A,,2022-01-05T17:32:49.000Z,Some unused,0,Low
authHatal,Enabled,Yes,Delegated,User (1),N/A,,2021-04-12T08:59:40.000Z,N/A,0,Low
Docparser,Enabled,Yes,Delegated,User (1),N/A,,2022-09-18T08:55:15.000Z,N/A,0,Low
IFTTT for To Do,Enabled,Yes,Delegated,User (3),"Ifttt, Inc.",,2022-05-30T19:40:17.000Z,N/A,0,Low
Teams Ideas,Enabled,Yes,Delegated,User (1),DLN Consultoria e Informatica Ltda,,2020-03-28T19:49:03.000Z,N/A,0,Low
FeedbackFruits,Enabled,Yes,Delegated,User (3),FeedbackFruits,,2021-05-26T12:25:34.000Z,N/A,0,Low
DefenseMonsters Openshift,Enabled,Yes,Delegated,User (8),N/A,,2020-03-15T11:12:47.000Z,N/A,0,Low
Azure Notebooks,Enabled,Yes,Delegated,User (12),N/A,,2019-09-18T07:43:55.000Z,N/A,0,Low
BlueMail,Enabled,Yes,Delegated,User (2),Blix Inc,,2020-05-19T02:53:45.000Z,N/A,0,Low
DigitalIDF - Yad-Beyad - Prod,Enabled,Yes,Delegated,User (238),N/A,,2021-08-19T07:27:19.000Z,N/A,0,Low
Booking Room Pro,Enabled,Yes,Delegated,User (2),Witivio,,2022-06-21T11:10:54.000Z,N/A,0,Low
YeeFlow,Enabled,Yes,Delegated,User (1),Akmii Information Limited,,2020-08-21T12:20:05.000Z,N/A,0,Low
Live Chat Bot,Enabled,Yes,Delegated,User (1),N/A,,2019-04-02T08:35:41.000Z,N/A,0,Low
SchoolsBuddy inc Personal,Enabled,Yes,Delegated,User (1),N/A,,2022-08-05T08:12:06.000Z,N/A,0,Low
LiveChat Accounts,Enabled,Yes,Delegated,User (2),N/A,,2022-10-06T18:26:53.000Z,N/A,0,Low
click-powerApps-coe,Enabled,Yes,Delegated,Admin,N/A,,2022-08-11T13:16:55.000Z,N/A,0,Low
TxtSync,Enabled,Yes,Delegated,User (3),TxtSync,,2021-02-15T16:30:15.000Z,N/A,0,Low
CPMS,Enabled,Yes,Delegated,User (1),N/A,,2021-01-20T10:07:33.000Z,N/A,0,Low
MSRC Security Update Guide,Enabled,Yes,Delegated,User (1),N/A,,2019-11-19T21:55:28.000Z,N/A,0,Low
VSTS Bot,Enabled,Yes,Delegated,User (1),N/A,,2020-02-12T19:45:49.000Z,N/A,0,Low
Developer Velocity Assessment,Enabled,Yes,Delegated,User (1),N/A,,2020-11-19T17:01:15.000Z,N/A,0,Low
Proofpoint-Cloud-Dev,Enabled,Yes,Delegated,User (1),N/A,,2021-11-11T08:04:46.000Z,N/A,0,Low
Contact Pro,Enabled,Yes,Delegated,User (1),Witivio,,2022-01-02T17:48:56.000Z,N/A,0,Low
DigitalIDF_ADX_Mitgaisim_PP,Enabled,Yes,Delegated,Admin,N/A,,2020-02-02T14:01:48.000Z,N/A,0,Low
